

[2017-07-07 15:02:00] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-08 21:41:03] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-09 01:37:36] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-09 02:37:05] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-09 16:53:10] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-09 18:02:17] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-10 01:09:48] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-10 02:06:21] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-10 02:42:30] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-10 03:12:45] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-10 03:17:38] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-10 19:27:55] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-10 19:57:06] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-10 20:23:18] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-10 20:34:53] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-07-10 21:05:35] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
